,SOCs.soc,TemperaturesCells.cell_21,TemperaturesCells.cell_20,TemperaturesCells.cell_23,TemperaturesCells.cell_22,TemperaturesCells.cell_25,TemperaturesCells.cell_24,TemperaturesCells.cell_27,TemperaturesCells.cell_26,TemperaturesCells.cell_29,TemperaturesCells.cell_28,TemperaturesCells.cell_89,TemperaturesCells.cell_88,TemperaturesCells.cell_87,TemperaturesCells.cell_86,TemperaturesCells.cell_85,TemperaturesCells.cell_84,TemperaturesCells.cell_83,TemperaturesCells.cell_82,TemperaturesCells.cell_81,TemperaturesCells.cell_80,TemperaturesCells.cell_32,TemperaturesCells.cell_33,TemperaturesCells.cell_30,TemperaturesCells.cell_31,TemperaturesCells.cell_36,TemperaturesCells.cell_37,TemperaturesCells.cell_34,TemperaturesCells.cell_35,TemperaturesCells.cell_38,TemperaturesCells.cell_39,TemperaturesCells.cell_90,TemperaturesCells.cell_91,TemperaturesCells.cell_92,TemperaturesCells.cell_93,TemperaturesCells.cell_94,TemperaturesCells.cell_95,TemperaturesCells.cell_96,TemperaturesCells.cell_97,TemperaturesCells.cell_98,TemperaturesCells.cell_99,TemperaturesCells.cell_100,TemperaturesCells.cell_18,TemperaturesCells.cell_19,TemperaturesCells.cell_10,TemperaturesCells.cell_11,TemperaturesCells.cell_12,TemperaturesCells.cell_13,TemperaturesCells.cell_14,TemperaturesCells.cell_15,TemperaturesCells.cell_16,TemperaturesCells.cell_17,TemperaturesCells.cell_69,TemperaturesCells.cell_68,TemperaturesCells.cell_65,TemperaturesCells.cell_64,TemperaturesCells.cell_67,TemperaturesCells.cell_66,TemperaturesCells.cell_61,TemperaturesCells.cell_60,TemperaturesCells.cell_63,TemperaturesCells.cell_62,TemperaturesCells.cell_2,TemperaturesCells.cell_3,TemperaturesCells.cell_1,TemperaturesCells.cell_6,TemperaturesCells.cell_7,TemperaturesCells.cell_4,TemperaturesCells.cell_5,TemperaturesCells.cell_8,TemperaturesCells.cell_9,TemperaturesCells.cell_78,TemperaturesCells.cell_79,TemperaturesCells.cell_76,TemperaturesCells.cell_77,TemperaturesCells.cell_74,TemperaturesCells.cell_75,TemperaturesCells.cell_72,TemperaturesCells.cell_73,TemperaturesCells.cell_70,TemperaturesCells.cell_71,TemperaturesCells.cell_43,TemperaturesCells.cell_42,TemperaturesCells.cell_41,TemperaturesCells.cell_40,TemperaturesCells.cell_47,TemperaturesCells.cell_46,TemperaturesCells.cell_45,TemperaturesCells.cell_44,TemperaturesCells.cell_49,TemperaturesCells.cell_48,TemperaturesCells.cell_54,TemperaturesCells.cell_55,TemperaturesCells.cell_56,TemperaturesCells.cell_57,TemperaturesCells.cell_50,TemperaturesCells.cell_51,TemperaturesCells.cell_52,TemperaturesCells.cell_53,TemperaturesCells.cell_58,TemperaturesCells.cell_59,Voltages.voltage_bat,Voltages.voltage_oc,Voltages.voltage_limit,Currents.current_bat,Temperatures.temp_min,Temperatures.temp_mean,Temperatures.temp_outlet,Temperatures.temp_max,Powers.power_int,Powers.power_bat,Resistances.resistance_int,Efficiencies.efficiency,TemperaturesCells.cells_0,TemperaturesCells.cells_1,TemperaturesCells.cells_2,TemperaturesCells.cells_3,TemperaturesCells.cells_4,TemperaturesCells.cells_5,TemperaturesCells.cells_6,TemperaturesCells.cells_7,TemperaturesCells.cells_8,TemperaturesCells.cells_9
193.6,42.0,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.5,71.6,71.6,71.6,71.7,71.6,71.6,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.6,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.6,938.0,860.0,617.0,-3460.0,71.7,69.6,55.7,71.3,-2975.6,-3245.48,-0.0225433526012,91.684434968,71.53,71.58,71.59,71.6,71.6,71.59,71.59,71.58,71.58,71.57
193.8,42.0,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.5,71.6,71.6,71.6,71.7,71.6,71.6,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.6,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.6,939.0,860.0,617.0,-3460.0,71.7,69.6,55.7,71.3,-2975.6,-3248.94,-0.0228323699422,91.5867944622,71.53,71.58,71.59,71.6,71.6,71.59,71.59,71.58,71.58,71.57
194.0,42.0,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.5,71.6,71.6,71.6,71.7,71.6,71.6,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.6,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.6,939.0,860.0,617.0,-3460.0,71.7,69.6,55.6,71.3,-2975.6,-3248.94,-0.0228323699422,91.5867944622,71.53,71.58,71.59,71.6,71.6,71.59,71.59,71.58,71.58,71.57
194.2,42.0,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.5,71.6,71.6,71.6,71.7,71.6,71.6,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.5,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.6,939.0,860.0,617.0,-3460.0,71.7,69.6,55.5,71.3,-2975.6,-3248.94,-0.0228323699422,91.5867944622,71.53,71.58,71.59,71.6,71.6,71.59,71.59,71.58,71.58,71.57
194.4,42.0,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.6,71.6,71.7,71.6,71.6,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.5,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.6,939.0,860.0,617.0,-3460.0,71.7,69.6,55.4,71.3,-2975.6,-3248.94,-0.0228323699422,91.5867944622,71.53,71.58,71.59,71.6,71.6,71.6,71.6,71.59,71.59,71.58
194.6,42.0,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.6,71.6,71.7,71.6,71.6,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.5,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.6,939.0,860.0,617.0,-3460.0,71.7,69.6,55.3,71.3,-2975.6,-3248.94,-0.0228323699422,91.5867944622,71.53,71.58,71.59,71.6,71.6,71.6,71.6,71.59,71.59,71.58
194.8,42.0,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.6,71.6,71.7,71.6,71.6,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.5,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.6,939.0,860.0,617.0,-3460.0,71.7,69.6,55.2,71.3,-2975.6,-3248.94,-0.0228323699422,91.5867944622,71.53,71.58,71.59,71.6,71.6,71.6,71.6,71.59,71.59,71.58
195.0,42.1,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.6,71.6,71.7,71.6,71.6,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.5,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.7,939.0,860.0,617.0,-3460.0,71.7,69.6,55.1,71.3,-2975.6,-3248.94,-0.0228323699422,91.5867944622,71.53,71.58,71.59,71.6,71.6,71.6,71.6,71.59,71.59,71.58
195.2,42.1,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.6,71.6,71.7,71.6,71.6,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.7,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.6,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.7,939.0,860.0,617.0,-3460.0,71.7,69.6,55.1,71.3,-2975.6,-3248.94,-0.0228323699422,91.5867944622,71.53,71.58,71.59,71.6,71.6,71.6,71.6,71.59,71.59,71.58
195.4,42.1,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.6,71.6,71.7,71.6,71.6,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.7,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.6,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.7,939.0,860.0,617.0,-3460.0,71.7,69.6,55.0,71.3,-2975.6,-3248.94,-0.0228323699422,91.5867944622,71.53,71.58,71.59,71.6,71.6,71.6,71.6,71.59,71.59,71.58
195.6,42.1,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.6,71.7,71.7,71.6,71.6,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.7,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.6,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.7,939.0,860.0,617.0,-3460.0,71.7,69.6,54.9,71.3,-2975.6,-3248.94,-0.0228323699422,91.5867944622,71.53,71.58,71.59,71.6,71.6,71.6,71.6,71.59,71.59,71.58
195.8,42.1,71.5,71.6,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.6,71.7,71.7,71.6,71.6,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.7,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.6,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.7,939.0,860.0,617.0,-3460.0,71.7,69.6,54.9,71.3,-2975.6,-3248.94,-0.0228323699422,91.5867944622,71.53,71.58,71.59,71.6,71.6,71.6,71.6,71.59,71.59,71.58
196.0,42.1,71.5,71.6,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.6,71.7,71.7,71.6,71.6,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.7,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.6,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.7,939.0,860.0,617.0,-3460.0,71.7,69.6,54.8,71.3,-2975.6,-3248.94,-0.0228323699422,91.5867944622,71.53,71.58,71.59,71.6,71.6,71.6,71.6,71.59,71.59,71.58
196.2,42.1,71.5,71.6,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.6,71.7,71.7,71.6,71.6,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.7,71.6,71.7,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.6,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.7,939.0,860.0,617.0,-3460.0,71.7,69.6,54.8,71.3,-2975.6,-3248.94,-0.0228323699422,91.5867944622,71.53,71.58,71.59,71.6,71.6,71.6,71.6,71.59,71.59,71.58
196.4,42.1,71.5,71.6,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.6,71.7,71.7,71.6,71.7,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.7,71.6,71.7,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.6,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.7,939.0,860.0,617.0,-3460.0,71.7,69.6,54.7,71.3,-2975.6,-3248.94,-0.0228323699422,91.5867944622,71.53,71.58,71.59,71.6,71.6,71.6,71.6,71.59,71.59,71.58
196.6,42.1,71.5,71.6,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.6,71.7,71.7,71.6,71.7,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.7,71.6,71.7,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.6,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.7,938.0,860.0,617.0,-3460.0,71.7,69.6,54.7,71.3,-2975.6,-3245.48,-0.0225433526012,91.684434968,71.53,71.58,71.59,71.6,71.6,71.6,71.6,71.59,71.59,71.58
196.8,42.1,71.5,71.6,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.6,71.7,71.7,71.6,71.7,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.7,71.6,71.7,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.6,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.7,938.0,860.0,617.0,-3460.0,71.7,69.6,54.6,71.3,-2975.6,-3245.48,-0.0225433526012,91.684434968,71.53,71.58,71.59,71.6,71.6,71.6,71.6,71.59,71.59,71.58
197.0,42.1,71.5,71.6,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.6,71.7,71.7,71.6,71.7,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.7,71.6,71.7,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.6,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.7,939.0,,617.0,-3460.0,71.7,69.6,54.6,71.3,,-3248.94,,,71.53,71.58,71.59,71.6,71.6,71.6,71.6,71.59,71.59,71.58
197.2,42.1,71.5,71.6,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.6,71.7,71.7,71.6,71.7,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.7,71.6,71.7,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.6,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.7,939.0,,617.0,-3460.0,71.7,69.6,54.6,71.3,,-3248.94,,,71.53,71.58,71.59,71.6,71.6,71.6,71.6,71.59,71.59,71.58
197.4,42.1,71.5,71.6,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.6,71.7,71.7,71.6,71.7,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.7,71.6,71.7,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.6,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.7,939.0,,617.0,-3460.0,71.7,69.6,54.5,71.3,,-3248.94,,,71.53,71.58,71.59,71.6,71.6,71.6,71.6,71.59,71.59,71.58
197.6,42.1,71.5,71.6,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.6,71.7,71.7,71.6,71.7,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.7,71.6,71.7,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.6,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.7,939.0,,617.0,-3460.0,71.7,69.6,54.5,71.3,,-3248.94,,,71.53,71.58,71.59,71.6,71.6,71.6,71.6,71.59,71.59,71.58
197.8,42.1,71.5,71.6,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.6,71.7,71.7,71.6,71.7,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.7,71.6,71.7,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.6,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.7,939.0,,617.0,-3460.0,71.7,69.6,54.5,71.3,,-3248.94,,,71.53,71.58,71.59,71.6,71.6,71.6,71.6,71.59,71.59,71.58
198.0,42.1,71.5,71.6,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.6,71.7,71.7,71.6,71.7,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.7,71.6,71.7,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.6,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.7,937.0,,617.0,-3460.0,71.7,69.6,54.4,71.3,,-3242.02,,,71.53,71.58,71.59,71.6,71.6,71.6,71.6,71.59,71.59,71.58
198.2,42.1,71.5,71.6,71.5,71.6,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.5,71.5,71.5,71.4,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.1,71.6,71.5,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.5,71.6,71.6,71.7,71.7,71.6,71.7,71.7,71.7,71.7,71.7,71.5,71.5,71.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.7,71.6,71.7,71.6,71.6,71.6,71.5,71.5,71.5,71.5,71.6,71.6,71.5,71.5,71.5,71.6,71.7,71.7,71.7,71.7,71.0,71.1,71.6,71.6,71.7,71.7,939.0,,617.0,-3460.0,71.7,69.6,55.4,71.4,,-3248.94,,,71.53,71.58,71.59,71.6,71.6,71.6,71.6,71.59,71.59,71.58
